"LogID","Method","URL","IP","Browser","Timestamp"
1,"GET","/api/logo-black.png","::ffff:127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36","2024-12-01T14:52:16.000Z"
2,"GET","/api/products/logo-black.png","::ffff:127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36","2024-12-01T14:56:10.000Z"
3,"GET","/products/logo-black.png","::ffff:127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36","2024-12-01T14:56:54.000Z"
4,"GET","/api/logo-black.png","::ffff:127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36","2024-12-01T14:57:39.000Z"
5,"GET","/api/logo-black.png","::ffff:127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36","2024-12-01T14:58:36.000Z"
6,"GET","/main.d77cbaa8080b34a67f47.hot-update.json","::ffff:127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36","2024-12-01T15:01:47.000Z"
7,"POST","/api/login","::1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36","2024-12-01T15:02:17.000Z"
8,"GET","/api/orders","::ffff:127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36","2024-12-01T15:02:19.000Z"
9,"GET","/api/orders","::ffff:127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36","2024-12-01T15:02:19.000Z"
10,"GET","/api/heavy-cigarettes","::ffff:127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36","2024-12-01T15:04:10.000Z"
11,"GET","/api/heavy-cigarettes","::ffff:127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36","2024-12-01T15:04:10.000Z"
12,"GET","/export-request-logs","::1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36","2024-12-01T15:15:40.000Z"
13,"GET","/favicon.ico","::1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36","2024-12-01T15:15:40.000Z"
14,"GET","/export-request-logs","::1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36","2024-12-01T15:18:09.000Z"
15,"GET","/export-request-logs","::1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36","2024-12-01T15:18:13.000Z"
16,"GET","/export-request-logs","::1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36","2024-12-01T15:58:48.000Z"
17,"GET","/export-request-logs","::1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36","2024-12-01T15:58:49.000Z"